Size (Byte);NOINIT_RND_WRITE ExpectedValue;NOINIT_RND_WRITE Stddev;INIT_RND_WRITE ExpectedValue;INIT_RND_WRITE Stddev
1;0.0000;0.0000;0.0000;0.0000
1001;0.7600;1.5239;1.1200;2.2684
2001;1.2800;1.4218;1.2000;1.7944
3001;1.9000;1.9157;3.4200;3.9577
4001;2.5400;2.0071;2.7600;1.4221
5001;4.1500;4.1818;3.4200;2.1127
6001;4.9300;5.9687;4.1200;2.8715
7001;4.6700;2.6079;3.5400;4.3736
8001;5.7000;3.8249;5.3300;3.1466
9001;6.4400;4.7902;6.7400;4.8654
10001;7.7300;5.8135;5.8900;6.5236
11001;7.8100;4.6598;3.4800;4.2035
12001;9.4600;5.5144;11.0300;16.0496
13001;25.1600;21.9334;8.7800;4.2298
14001;50.8200;32.5393;8.0700;2.5110
15001;47.6600;27.8037;8.6400;2.8862
16001;53.3500;29.8464;8.8300;1.8977
17001;96.7500;9.0248;9.5600;1.7906
18001;99.5200;3.0217;10.3600;1.9622
19001;99.9600;0.3988;8.1900;2.1480
20001;100.0000;0.0000;12.2500;4.5351
21001;100.0000;0.0000;12.7600;4.5937
22001;100.0000;0.0000;17.1500;15.1112
23001;100.0000;0.0000;12.6100;7.4430
24001;100.0000;0.0000;16.5400;3.1062
25001;100.0000;0.0000;39.1600;28.0306
26001;100.0000;0.0000;60.1300;22.5764
27001;100.0000;0.0000;62.7000;19.7411
28001;100.0000;0.0000;95.3900;8.3365
29001;100.0000;0.0000;98.3000;3.9761
30001;100.0000;0.0000;100.0000;0.0000
31001;100.0000;0.0000;100.0000;0.0000
32001;100.0000;0.0000;100.0000;0.0000
33001;100.0000;0.0000;100.0000;0.0000
34001;100.0000;0.0000;100.0000;0.0000
35001;100.0000;0.0000;100.0000;0.0000
36001;100.0000;0.0000;100.0000;0.0000
37001;100.0000;0.0000;100.0000;0.0000
38001;100.0000;0.0000;100.0000;0.0000
39001;100.0000;0.0000;100.0000;0.0000
