Sizes;NOINIT_SEQ_READ;INIT_SEQ_READ
0;0.00;0.00
2000;0.90;0.40
4000;0.70;0.60
6000;2.10;0.60
8000;1.20;0.70
10000;50.80;1.40
12000;2.00;2.10
14000;1.50;3.00
16000;1.70;1.70
18000;1.80;1.40
20000;4.50;2.10
22000;10.20;1.30
24000;4.80;4.00
26000;6.80;2.40
28000;5.30;10.60
30000;12.90;3.60
32000;5.40;5.00
34000;5.40;3.20
36000;7.30;2.30
38000;5.70;3.20
40000;31.40;5.30
42000;5.70;3.80
44000;6.50;7.00
46000;5.90;8.00
48000;5.20;9.10
50000;7.40;7.40
52000;6.50;1.20
54000;6.30;7.60
56000;42.90;1.50
58000;7.90;8.20
60000;8.10;3.30
62000;99.00;42.70
64000;99.90;22.60
66000;98.90;19.10
68000;98.60;26.20
70000;99.10;24.50
72000;98.10;21.50
74000;99.60;91.40
76000;99.80;93.40
78000;99.50;92.60
80000;99.70;95.50
82000;99.80;87.40
84000;99.90;85.50
86000;99.50;86.50
88000;100.00;90.10
90000;99.40;91.80
92000;99.90;90.00
94000;100.00;97.00
96000;100.00;97.90
98000;100.00;98.80
100000;100.00;95.30
102000;100.00;93.20
104000;100.00;94.40
106000;100.00;96.20
108000;100.00;95.10
110000;100.00;96.60
112000;99.90;96.90
114000;100.00;96.40
116000;100.00;93.60
118000;100.00;94.50
120000;100.00;95.60
122000;100.00;95.90
124000;100.00;95.50
