Sizes;Failure rate
1000;100.00
2000;100.00
3000;100.00
4000;100.00
5000;100.00
6000;100.00
7000;100.00
8000;100.00
9000;100.00
10000;100.00
15000;100.00
20000;100.00
25000;100.00
30000;100.00
35000;100.00
40000;100.00
45000;100.00
50000;100.00
55000;100.00
60000;100.00
65000;100.00
70000;100.00
75000;100.00
80000;100.00
85000;100.00
90000;100.00
95000;100.00
100000;100.00
105000;100.00
110000;100.00
115000;100.00
120000;100.00
125000;100.00
130000;100.00
135000;100.00
140000;100.00
145000;100.00
150000;100.00
155000;100.00
160000;100.00
165000;100.00
170000;100.00
175000;100.00
180000;100.00
185000;100.00
190000;100.00
195000;100.00
200000;100.00
205000;100.00
210000;100.00
215000;100.00
220000;100.00
225000;100.00
230000;100.00
235000;100.00
240000;100.00
245000;100.00
250000;100.00
255000;100.00
260000;100.00
265000;100.00
270000;100.00
275000;100.00
280000;100.00
285000;100.00
290000;100.00
295000;100.00
300000;100.00
305000;100.00
310000;100.00
315000;100.00
320000;100.00
325000;100.00
330000;100.00
335000;100.00
340000;100.00
345000;100.00
350000;100.00
355000;100.00
360000;100.00
365000;100.00
370000;100.00
375000;100.00
380000;100.00
385000;100.00
390000;100.00
395000;100.00
400000;100.00
405000;100.00
410000;100.00
415000;100.00
420000;100.00
425000;100.00
430000;100.00
435000;100.00
440000;100.00
445000;100.00
450000;100.00
455000;100.00
460000;100.00
465000;100.00
470000;100.00
475000;100.00
480000;100.00
485000;100.00
490000;100.00
495000;100.00
500000;100.00
505000;100.00
510000;100.00
515000;100.00
520000;100.00
525000;100.00
530000;100.00
535000;100.00
540000;100.00
545000;100.00
550000;100.00
555000;100.00
560000;100.00
565000;100.00
570000;100.00
575000;100.00
580000;100.00
585000;100.00
590000;100.00
595000;100.00
600000;100.00
605000;100.00
610000;100.00
615000;100.00
620000;100.00
625000;100.00
630000;100.00
635000;100.00
640000;100.00
645000;100.00
650000;100.00
655000;100.00
660000;100.00
665000;100.00
670000;100.00
675000;100.00
680000;100.00
685000;100.00
690000;100.00
695000;100.00
700000;100.00
705000;100.00
710000;100.00
715000;100.00
720000;100.00
725000;100.00
730000;100.00
735000;100.00
740000;100.00
745000;100.00
750000;100.00
755000;100.00
760000;100.00
765000;100.00
770000;100.00
775000;100.00
780000;100.00
785000;100.00
790000;100.00
795000;100.00
800000;100.00
805000;100.00
810000;100.00
815000;100.00
