Size (Byte);NOINIT_SEQ_WRITE ExpectedValue;NOINIT_SEQ_WRITE Stddev;INIT_SEQ_WRITE ExpectedValue;INIT_SEQ_WRITE Stddev
0;0.00;0.00;0.00;0.00
1000;0.30;0.46;0.40;1.20
2000;1.20;2.44;0.60;1.28
3000;0.50;0.67;0.90;1.81
4000;0.30;0.46;0.20;0.40
5000;0.80;1.17;0.70;0.46
6000;1.00;1.41;1.20;1.17
7000;1.60;1.85;0.40;0.49
8000;1.70;1.85;0.80;0.87
9000;1.10;0.94;1.00;0.89
10000;1.30;1.35;0.60;0.80
11000;3.10;2.34;1.50;1.02
12000;3.30;3.80;1.10;0.83
13000;3.80;2.32;4.30;4.31
14000;3.50;1.50;2.30;1.35
15000;7.10;5.56;3.20;1.54
16000;13.50;5.82;3.40;1.62
17000;10.70;7.48;3.40;2.37
18000;11.10;9.90;4.40;1.96
19000;24.40;23.20;5.10;2.07
20000;35.30;14.06;10.90;2.88
21000;73.10;25.14;18.30;8.92
22000;77.40;17.95;32.80;18.81
23000;100.00;0.00;11.30;4.88
24000;100.00;0.00;72.90;23.87
25000;100.00;0.00;62.60;24.49
26000;100.00;0.00;84.70;23.35
27000;100.00;0.00;79.40;16.80
28000;100.00;0.00;95.80;5.98
29000;100.00;0.00;95.70;5.02
30000;100.00;0.00;94.20;5.38
31000;100.00;0.00;95.50;6.31
32000;100.00;0.00;100.00;0.00
33000;100.00;0.00;100.00;0.00
34000;100.00;0.00;100.00;0.00
35000;100.00;0.00;100.00;0.00
36000;100.00;0.00;100.00;0.00
37000;100.00;0.00;100.00;0.00
38000;100.00;0.00;100.00;0.00
39000;100.00;0.00;100.00;0.00
40000;100.00;0.00;100.00;0.00
